CIC_MEM_VERS = 2.0
CREATION_DATE  = 2026-07-16T06:15:21.125
ORIGINATOR     = CNES

META_START

COMMENT days (MJD), sec (UTC), altitude (km)

OBJECT_NAME = Sat
OBJECT_ID = Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = SATELLITE_ALTITUDE
TIME_SYSTEM = UTC
START_TIME = 2000-01-01T11:59:28.000
STOP_TIME = 2000-01-01T15:19:13.776

META_STOP

51544 43168.00000 840.593
51544 43267.05600 858.301
51544 43366.11200 875.421
51544 43465.16800 891.777
51544 43564.22400 907.208
51544 43663.28000 921.561
51544 43762.33600 934.698
51544 43861.39200 946.495
51544 43960.44800 956.838
51544 44059.50400 965.635
51544 44158.56000 972.803
51544 44257.61600 978.280
51544 44356.67200 982.017
51544 44455.72800 983.981
51544 44554.78400 984.159
51544 44653.84000 982.551
51544 44752.89600 979.174
51544 44851.95200 974.061
51544 44951.00800 967.262
51544 45050.06400 958.840
51544 45149.12000 948.876
51544 45248.17600 937.464
51544 45347.23200 924.711
51544 45446.28800 910.739
51544 45545.34400 895.681
51544 45644.40000 879.684
51544 45743.45600 862.903
51544 45842.51200 845.502
51544 45941.56800 827.658
51544 46040.62400 809.549
51544 46139.68000 791.361
51544 46238.73600 773.283
51544 46337.79200 755.507
51544 46436.84800 738.222
51544 46535.90400 721.616
51544 46634.96000 705.873
51544 46734.01600 691.169
51544 46833.07200 677.672
51544 46932.12800 665.539
51544 47031.18400 654.910
51544 47130.24000 645.914
51544 47229.29600 638.660
51544 47328.35200 633.236
51544 47427.40800 629.712
51544 47526.46400 628.133
51544 47625.52000 628.521
51544 47724.57600 630.877
51544 47823.63200 635.174
51544 47922.68800 641.363
51544 48021.74400 649.373
51544 48120.80000 659.110
51544 48219.85600 670.458
51544 48318.91200 683.284
51544 48417.96800 697.439
51544 48517.02400 712.758
51544 48616.08000 729.065
51544 48715.13600 746.174
51544 48814.19200 763.892
51544 48913.24800 782.022
51544 49012.30400 800.367
51544 49111.36000 818.727
51544 49210.41600 836.909
51544 49309.47200 854.720
51544 49408.52800 871.979
51544 49507.58400 888.509
51544 49606.64000 904.147
51544 49705.69600 918.737
51544 49804.75200 932.139
51544 49903.80800 944.224
51544 50002.86400 954.880
51544 50101.92000 964.007
51544 50200.97600 971.522
51544 50300.03200 977.357
51544 50399.08800 981.460
51544 50498.14400 983.797
51544 50597.20000 984.348
51544 50696.25600 983.112
51544 50795.31200 980.100
51544 50894.36800 975.344
51544 50993.42400 968.889
51544 51092.48000 960.797
51544 51191.53600 951.143
51544 51290.59200 940.019
51544 51389.64800 927.530
51544 51488.70400 913.794
51544 51587.76000 898.943
51544 51686.81600 883.120
51544 51785.87200 866.479
51544 51884.92800 849.183
51544 51983.98400 831.405
51544 52083.04000 813.324
51544 52182.09600 795.125
51544 52281.15200 776.996
51544 52380.20800 759.128
51544 52479.26400 741.712
51544 52578.32000 724.937
51544 52677.37600 708.988
51544 52776.43200 694.042
51544 52875.48800 680.271
51544 52974.54400 667.832
51544 53073.60000 656.873
51544 53172.65600 647.521
51544 53271.71200 639.892
51544 53370.76800 634.079
51544 53469.82400 630.153
51544 53568.88000 628.167
51544 53667.93600 628.147
51544 53766.99200 630.098
51544 53866.04800 633.999
51544 53965.10400 639.806
51544 54064.16000 647.452
51544 54163.21600 656.846
51544 54262.27200 667.880
51544 54361.32800 680.422
51544 54460.38400 694.326
51544 54559.44000 709.431
51544 54658.49600 725.561
51544 54757.55200 742.533
51544 54856.60800 760.154
51544 54955.66400 778.228
51544 55054.72000 796.557
51544 55153.77600 814.942
